Market Code,PID,Category,Sub Category,Tertiary Category,Description,Comments,Brand,Brand Type,Pack Description,No. Packs in a Case,No. Units in a Single Pack,Unit Size,Unit Measure,Unit Name,Tax Rate,SKU,Price,Price List, Units per Case, Converted To,Unit Price,Supplier Description,SplitMultipleRule,PackSize,UnitSizeMultiple,UnitsPerCase
,192030,"Food","Baking Ingredients","Dried Fruit","Sultanas",,"Own","Standard","1 x 3 kg",1.0000,1,"3.000","kg",,0%,"100593","10.10","IHG-ENTEGRA","3.0000000","kg","10.1",,"1.0000","1","3.000","3.0000000",
,192289,"Food","Baking Ingredients","Sundries","Cream of Tartar",,"Own","Standard","1 x 1kg",1.0000,1,"1.000","kg",,0%,"101447","10.42","IHG-ENTEGRA","1.0000000","kg","10.42",,"1.0000","1","1.000","1.0000000",
,193384,"Food","Ice Cream, Lollies & Fzn Fruit","Frozen Fruit","Fruits of the Forest","strawberries, blackberries, raspberries, redcurrants, blackcurrants, blueberries","Own","Standard","1 x 1kg",1.0000,1,"1.000","kg",,0%,"107565","7.13","IHG-ENTEGRA","1.0000000","kg","7.13",,"1.0000","1","1.000","1.0000000",
,194493,"Food","Cooking Ingredients","Salt","Table Salt",,"Own","Standard","1 x 6kg",1.0000,1,"6.000","kg",,0%,"100708","3.05","IHG-ENTEGRA","6.0000000","kg","3.05",,"1.0000","1","6.000","6.0000000",
,194561,"Food","Cooking Ingredients","Spices","Pumpkin Seeds",,"Own","Standard","1 x 550g",1.0000,1,"550.000","g",,0%,"100691","5.31","IHG-ENTEGRA","0.5500000","kg","5.31",,"1.0000","1","0.550","0.5500000",
,194729,"Food","Cooking Ingredients","Coconut Creamed & Milk","Coconut Milk",,"Own","Standard","1 x 400ml",1.0000,1,"400.000","ml","tin",0%,"101490","1.02","IHG-ENTEGRA","0.4000000","ltr","1.02",,"1.0000","1","0.400","0.4000000",
,195314,"Food","Rice","Short Grain","Pudding Rice",,"Own","Standard","1 x 3kg",1.0000,1,"3.000","kg",,0%,"106337","5.49","IHG-ENTEGRA","3.0000000","kg","5.49",,"1.0000","1","3.000","3.0000000",
,195463,"Food","Table Sauce & Condiments","Mayonnaise","Real : Mayonnaise",,"Hellmann's","Standard","1 x 5ltr",1.0000,1,"5.000","ltr",,0%,"113314","17.49","IHG-ENTEGRA","5.0000000","ltr","17.49",,"1.0000","1","5.000","5.0000000",
,195645,"Food","Table Sauce & Condiments","OTHER Sauces","Worcester Sauce",,"Lea & Perrins","Standard","1 x 290ml",1.0000,1,"290.000","ml",,0%,"101523","3.08","IHG-ENTEGRA","0.2900000","ltr","3.08",,"1.0000","1","0.290","0.2900000",
,195732,"Food","Table Sauce & Condiments","Vinegar","Balsamic Vinegar",,"Own","Standard","1 x 5 ltr",1.0000,1,"5.000","ltr",,0%,"108743","12.14","IHG-ENTEGRA","5.0000000","ltr","12.14",,"1.0000","1","5.000","5.0000000",
,195737,"Food","Table Sauce & Condiments","Vinegar","Red Wine Vinegar",,"Own","Standard","1 x 5ltr",1.0000,1,"5.000","ltr",,0%,"101558","7.93","IHG-ENTEGRA","5.0000000","ltr","7.93",,"1.0000","1","5.000","5.0000000",
,195739,"Food","Table Sauce & Condiments","Vinegar","White Wine Vinegar",,"Own","Standard","1 x 5ltr",1.0000,1,"5.000","ltr",,0%,"101560","7.93","IHG-ENTEGRA","5.0000000","ltr","7.93",,"1.0000","1","5.000","5.0000000",
,196015,"Food","Cooking Sauce","Oriental Paste","Thai Green Curry Paste",,"Own","Standard","1 x 1kg",1.0000,1,"1.000","kg","tub",0%,"108377","4.79","IHG-ENTEGRA","1.0000000","kg","4.79",,"1.0000","1","1.000","1.0000000",
,196391,"Food","Cooking Sauce","African Flavours","Tahini Paste (Sesame)",,"Own","Standard","1 x 340g",1.0000,1,"340.000","g",,0%,"100518","2.12","IHG-ENTEGRA","0.3400000","kg","2.12",,"1.0000","1","0.340","0.3400000",
,197159,"Food","Preserves, Jam & Spread","Jam","Raspberry Jam : Portion","Jar","Tiptree","Standard","1 x 72 x 28 g",1.0000,72,"28.000","g","portion",0%,"103480","14.78","IHG-ENTEGRA","2.0160000","kg","0.2053",,"1.0000","72","0.028","2.0160000",
,197160,"Food","Preserves, Jam & Spread","Jam","Strawberry Jam : Portion","Jar","Tiptree","Standard","1 x 72 x 28 g",1.0000,72,"28.000","g","portion",0%,"103479","14.76","IHG-ENTEGRA","2.0160000","kg","0.205",,"1.0000","72","0.028","2.0160000",
,197161,"Food","Preserves, Jam & Spread","Jam","Blackcurrant Jam : Portion","Jar","Tiptree","Standard","1 x 72 x 28 g",1.0000,72,"28.000","g","portion",0%,"103337","14.78","IHG-ENTEGRA","2.0160000","kg","0.2053",,"1.0000","72","0.028","2.0160000",
,197200,"Food","Preserves, Jam & Spread","Spread","Chocolate Spread : Portion",,"Nutella","Standard","1 x 120 x 15 g",1.0000,120,"15.000","g","portion",0%,"112596","15.28","IHG-ENTEGRA","1.8000000","kg","0.1273",,"1.0000","120","0.015","1.8000000",
,200049,"Food","Cheese","Italian (Chilled)","Mascarpone",,"Own","Standard","1 x 500g",1.0000,1,"500.000","g","tub",0%,"106064","2.76","IHG-ENTEGRA","0.5000000","kg","2.76",,"1.0000","1","0.500","0.5000000",
,200284,"Food","Delicatessen (Chilled)","Dips (Chilled)","Houmous","Chick peas, tahini, vegetable oil, garlic and salt.","Own","Standard","1 x 1kg",1.0000,1,"1.000","kg","tub",0%,"106152","2.98","IHG-ENTEGRA","1.0000000","kg","2.98",,"1.0000","1","1.000","1.0000000",
,200585,"Food","Sugar & Sweeteners","Sugar","Granulated Sugar",,"Own","Standard","1 x 1 kg",1.0000,1,"1.000","kg","Packet",0%,"101686","0.84","IHG-ENTEGRA","1.0000000","kg","0.84",,"1.0000","1","1.000","1.0000000",
,200586,"Food","Sugar & Sweeteners","Sugar","Caster Sugar",,"Tate & Lyle","Standard","1 x 25 kg",1.0000,1,"25.000","kg",,0%,"101678","19.81","IHG-ENTEGRA","25.0000000","kg","19.81",,"1.0000","1","25.000","25.0000000",
,200592,"Food","Sugar & Sweeteners","Sugar","Caster Sugar",,"Own","Standard","1 x 2kg",1.0000,1,"2.000","kg","Packet",0%,"101679","1.66","IHG-ENTEGRA","2.0000000","kg","1.66",,"1.0000","1","2.000","2.0000000",
,205699,"Food","Dessert Sundries & Pie Fillings","Flan Case, Sponge Fingers & Layers","Sponge Sheets : Info: Chocolate",,"Own","Standard","1 x 14 x 1each",1.0000,14,"1.000","each",,0%,"100213","40.68","IHG-ENTEGRA","14.0000000","each","2.9057",,"1.0000","14","1.000","14.0000000",
,205866,"Food","Dairy & Eggs (Chilled)","Butter (Chilled)","Butter Portion : Salted",,"Netherend","Standard","1 x 100 x 30g",1.0000,100,"1.000","each","portion",0%,"112838","34.53","IHG-ENTEGRA","100.0000000","each","0.3453",,"1.0000","100","1.000","100.0000000",
,206846,"Food","Cereal","Fruit and Fibre","Fruit 'n Fibre",,"Kellogg's","Standard","4 x 700g",4.0000,1,"700.000","g",,0%,"103820","15.56","IHG-ENTEGRA","2.8000000","kg","3.89",,"4.0000","1","0.700","2.8000000",
,207120,"Food","Crisp & Snacks","Snacks","Casino : Bar Mix",,,,"1 x 2.5kg",1.0000,1,"2.500","kg",,20%,"117232","22.32","IHG-ENTEGRA","2.5000000","kg","22.32",,"1.0000","1","2.500","2.5000000",
,207321,"Food","Cheese","British (Chilled)","Golden Cross",,,,"1 x 225g",1.0000,1,"225.000","g",,0%,"108413","5.55","IHG-ENTEGRA","0.2250000","kg","5.55",,"1.0000","1","0.225","0.2250000",
,207469,"Food","Table Sauce & Condiments","Mustard","Coarse Grain Mustard",,"Own","Standard","1 x 5kg",1.0000,1,"5.000","kg",,0%,"101610","9.62","IHG-ENTEGRA","5.0000000","kg","9.62",,"1.0000","1","5.000","5.0000000",
,207895,"Food","Table Sauce & Condiments","Vinegar","Cabernet Sauvignon Vinegar",,"Own","Standard","1 x 500ml",1.0000,1,"500.000","ml",,0%,"108696","2.53","IHG-ENTEGRA","0.5000000","ltr","2.53",,"1.0000","1","0.500","0.5000000",
,208024,"Food","Cheese","British (Chilled)","Celtic Promise",,,,"1 x 500g",1.0000,1,"500.000","g",,0%,"101833","9.48","IHG-ENTEGRA","0.5000000","kg","9.48",,"1.0000","1","0.500","0.5000000",
,209141,"Food","Preserves, Jam & Spread","Honey","Honey : Portion",,"Tiptree","Standard","1 x 72 x 28g",1.0000,72,"1.000","each","portion",0%,"101694","22.43","IHG-ENTEGRA","72.0000000","each","0.3115",,"1.0000","72","1.000","72.0000000",
,209377,"Food","Baking Ingredients","Chocolate Products","Blanc Satin : Pistoles",,"Callebaut","Standard","1 x 5kg",1.0000,1,"5.000","kg","Box",0%,"100130","59.08","IHG-ENTEGRA","5.0000000","kg","59.08",,"1.0000","1","5.000","5.0000000",
,209419,"Food","Baking Ingredients","Culinary Nuts & Seeds","Almonds : Ground",,"Own","Standard","1 x 1 kg",1.0000,1,"1.000","kg","bag",0%,"100066","9.69","IHG-ENTEGRA","1.0000000","kg","9.69",,"1.0000","1","1.000","1.0000000",
,209424,"Food","Baking Ingredients","Culinary Nuts & Seeds","Almonds : Nibbed",,"Own","Standard","1 x 1 kg",1.0000,1,"1.000","kg","bag",0%,"100067","9.49","IHG-ENTEGRA","1.0000000","kg","9.49",,"1.0000","1","1.000","1.0000000",
,209436,"Food","Baking Ingredients","Culinary Nuts & Seeds","Fennel Seeds",,"Own","Standard","1 x 200g",1.0000,1,"200.000","g","tub",0%,"115910","2.89","IHG-ENTEGRA","0.2000000","kg","2.89",,"1.0000","1","0.200","0.2000000",
,209484,"Food","Baking Ingredients","Flour","Chick Pea : Gram Flour",,"Own","Standard","1 x 1 kg",1.0000,1,"1.000","kg","bag",0%,"107389","2.47","IHG-ENTEGRA","1.0000000","kg","2.47",,"1.0000","1","1.000","1.0000000",
,209728,"Food","Cereal, Pulses & Potato","Wheat Grain","Wheat Germ",,"Own","Standard","1 x 1 kg",1.0000,1,"1.000","kg","bag",0%,"100330","6.55","IHG-ENTEGRA","1.0000000","kg","6.55",,"1.0000","1","1.000","1.0000000",
,209753,"Food","Table Sauce & Condiments","Brown Sauce","Brown Sauce",,"HP","Standard","1 x 255g",1.0000,1,"255.000","g","bottle",0%,"101260","1.50","IHG-ENTEGRA","0.2550000","kg","1.5",,"1.0000","1","0.255","0.2550000",
,209760,"Food","Table Sauce & Condiments","Mustard","Dijon Mustard : Smooth",,"Own","Standard","1 x 5kg",1.0000,1,"5.000","kg","tub",0%,"101609","8.37","IHG-ENTEGRA","5.0000000","kg","8.37",,"1.0000","1","5.000","5.0000000",
,209761,"Food","Table Sauce & Condiments","Mustard","English Mustard",,"Colemans","Standard","1 x 2ltr",1.0000,1,"2.000","ltr","tub",0%,"101605","8.88","IHG-ENTEGRA","2.0000000","ltr","8.88",,"1.0000","1","2.000","2.0000000",
,209775,"Food","Table Sauce & Condiments","Tomato Ketchup","Tomato Ketchup",,"Heinz","Standard","1 x 342g",1.0000,1,"342.000","g","bottle",0%,"101263","1.50","IHG-ENTEGRA","0.3420000","kg","1.5",,"1.0000","1","0.342","0.3420000",
,209870,"Food","Preserves, Jam & Spread","Jam","Raspberry Jam",,"Own","Standard","1 x 3kg",1.0000,1,"3.000","kg",,0%,"101750","12.10","IHG-ENTEGRA","3.0000000","kg","12.1",,"1.0000","1","3.000","3.0000000",
,210010,"Food","Cheese","Other (Chilled)","Soft Cream Cheese : Full Fat",,"Own","Standard","1 x 2kg",1.0000,1,"2.000","kg","tub",0%,"104843","8.90","IHG-ENTEGRA","2.0000000","kg","8.9",,"1.0000","1","2.000","2.0000000",
,210321,"Food","Dessert Sundries & Pie Fillings","Treacle","Black Treacle",,"Own","Standard","1 x 454g",1.0000,1,"454.000","g","tin",0%,"101845","1.03","IHG-ENTEGRA","0.4540000","kg","1.03",,"1.0000","1","0.454","0.4540000",
,210322,"Food","Dessert Sundries & Pie Fillings","Treacle","Black Treacle",,"Own","Standard","1 x 7.257kg",1.0000,1,"7.260","kg","tub",0%,"103530","10.29","IHG-ENTEGRA","7.2600000","kg","10.29",,"1.0000","1","7.260","7.2600000",
,210564,"Food","Ice Cream, Lollies & Fzn Fruit","Frozen Fruit Puree","Fruits of the Forest Puree",,"Own","Standard","1 x 1kg",1.0000,1,"1.000","kg","each",0%,"107979","8.14","IHG-ENTEGRA","1.0000000","kg","8.14",,"1.0000","1","1.000","1.0000000",
