Market Code,PID,Category,Sub Category,Tertiary Category,Description,Comments,Brand,Brand Type,Pack Description,No. Packs in a Case,No. Units in a Single Pack,Unit Size,Unit Measure,Unit Name,Tax Rate,SKU,Price,Price List, Units per Case, Converted To,Unit Price,Supplier Description,SplitMultipleRule,PackSize,UnitSizeMultiple,UnitsPerCase
,209369,"Food","Baking Ingredients","Chocolate Products","Manjari : Chocolate Beans : -64%",,"Valrhona","Standard","1 x 3kg",1.0000,1,"3.000","kg","bag",0%,"VAL4655","46.03","IHG - Entegra - P15","3.0000000","kg","46.03",,"1.0000","1","3.000","3.0000000",
,209603,"Food","Oil","Speciality Oil","Pumpkin Seed Oil",,"Own","Standard","1 x 250ml",1.0000,1,"250.000","ml","bottle",0%,"HUI725","8.93","IHG - Entegra - P15","0.2500000","ltr","8.93",,"1.0000","1","0.250","0.2500000",
,221599,"Food","Meat & Poultry (Chilled)","Duck (Chilled)","Wild Mallard : Oven Ready",,,,"1 x 1each",1.0000,1,"1.000","each",,0%,"TUR107","5.02","IHG - Entegra - P15","1.0000000","each","5.02",,"1.0000","1","1.000","1.0000000",
,273094,"Food","Baking Ingredients","Flavouring","Hibiscus Flower : Edible",,"Own","Standard","1 x 140 g",1.0000,1,"140.000","g",,0%,"LED780","8.50","IHG - Entegra - P15","0.1400000","kg","8.5",,"1.0000","1","0.140","0.1400000",
,377855,"Food","Crisp & Snacks","Nuts","Almonds : Smoked",,"Own","Standard","1 x 1 kg",1.0000,1,"1.000","kg","bag",20%,"AFR790","12.11","IHG - Entegra - P15","1.0000000","kg","12.11",,"1.0000","1","1.000","1.0000000",
,414431,"Food","Baking Ingredients","Sundries","Citric Acid",,"Own","Standard","1 x 1 kg",1.0000,1,"1.000","kg",,0%,"LOU106A","11.94","IHG - Entegra - P15","1.0000000","kg","11.94",,"1.0000","1","1.000","1.0000000",
,430507,"Food","Baking Ingredients","Chocolate Products","Cocoa Powder",,"Own","Standard","1 x 1kg",1.0000,1,"1.000","kg","bag",0%,"VEL1226765","7.16","IHG - Entegra - P15","1.0000000","kg","7.16",,"1.0000","1","1.000","1.0000000",
,454630,"Food","Bakery (Frozen)","Morning Goods/Viennoiserie (Frozen)","Pain au Chocolat",,"Own","Standard","1 x 70 x 75 g",1.0000,70,"1.000","each",,0%,"BRI34581","28.36","IHG - Entegra - P15","70.0000000","each","0.4051",,"1.0000","70","1.000","70.0000000",
,456276,"Food","Baking Ingredients","Chocolate Products","Caraibe : 66% : Block",,"Valrhona",,"1 x 3kg",1.0000,1,"3.000","kg",,0%,"VAL0107","44.97","IHG - Entegra - P15","3.0000000","kg","44.97",,"1.0000","1","3.000","3.0000000",
,456561,"Food","Baking Ingredients","Covering, Decoration & Icing","Tartaric Acid",,"Own","Standard","1 x 1 kg",1.0000,1,"1.000","kg",,0%,"LOU110A","23.02","IHG - Entegra - P15","1.0000000","kg","23.02",,"1.0000","1","1.000","1.0000000",
,482075,"Food","Antipasti - Veg","Mushrooms","Black Trompette : Dried",,,,"1 x 500 g",1.0000,1,"500.000","g",,0%,"PLA8605","39.05","IHG - Entegra - P15","0.5000000","kg","39.05",,"1.0000","1","0.500","0.5000000",
